HTZA,large_airport,Abeid Amani Karume International Airport,-6.22202,39.224899,AF,TZ
HUEN,large_airport,Entebbe International Airport,0.042386,32.443501,AF,UG
KADW,large_airport,Joint Base Andrews,38.810799,-76.866997,NA,US
KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,NA,US
KAUS,large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,NA,US
KBNA,large_airport,Nashville International Airport,36.12450027,-86.67819977,NA,US
KBOS,large_airport,Logan International Airport,42.3643,-71.005203,NA,US
KBUF,large_airport,Buffalo Niagara International Airport,42.94049835,-78.73220062,NA,US
KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,NA,US
KCLE,large_airport,Cleveland Hopkins International Airport,41.4117012,-81.84980011,NA,US
KCLT,large_airport,Charlotte Douglas International Airport,35.2140007,-80.94309998,NA,US
KCMH,large_airport,John Glenn Columbus International Airport,39.998001,-82.891899,NA,US
KCVG,large_airport,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,NA,US
KDCA,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,NA,US
KDEN,large_airport,Denver International Airport,39.86169815,-104.6729965,NA,US
KDFW,large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,NA,US
KDTW,large_airport,Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118,NA,US
KEWR,large_airport,Newark Liberty International Airport,40.692501,-74.168701,NA,US
KFLL,large_airport,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,NA,US
KIAD,large_airport,Washington Dulles International Airport,38.9445,-77.455803,NA,US
KIAH,large_airport,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,NA,US
KIND,large_airport,Indianapolis International Airport,39.7173,-86.294403,NA,US
KJAX,large_airport,Jacksonville International Airport,30.49410057,-81.68789673,NA,US
KJFK,large_airport,John F Kennedy International Airport,40.639801,-73.7789,NA,US
KLAS,large_airport,McCarran International Airport,36.08010101,-115.1520004,NA,US
KLAX,large_airport,Los Angeles International Airport,33.942501,-118.407997,NA,US
KLGA,large_airport,La Guardia Airport,40.777199,-73.872597,NA,US
KMCI,large_airport,Kansas City International Airport,39.2976,-94.713898,NA,US
KMCO,large_airport,Orlando International Airport,28.42939949,-81.30899811,NA,US
KMDW,large_airport,Chicago Midway International Airport,41.785999,-87.752403,NA,US
KMEM,large_airport,Memphis International Airport,35.04240036,-89.97669983,NA,US
KMIA,large_airport,Miami International Airport,25.79319954,-80.29060364,NA,US
KMKE,large_airport,General Mitchell International Airport,42.94720078,-87.89659882,NA,US
